annotation,labels,GRNTI
da effektive funktionieren der regionalen wirtschaft ist ohne da vorhandensein eines entwickelten finanzsystems das die normale tätigkeit der wirtschaftssubjekte gewährleistet nicht vorstellbar dementsprechend ist der zustand de finanzsystems von großer bedeutung für die sicherung de wirtschaftswachstums d region der zweck dieser arbeit besteht darin die hauptprobleme zu identifizieren die da effektive funktionieren regionaler finanzsysteme behindern sowie die methodischen probleme bei der analyse der geringen entwicklung von regionen aufzudecken,5,Экономика И Экономические Науки
der artikel analysiert die wichtigsten trend in der ausbildung von personal für die landwirtschaft die relevanz de problem der fachkräftenachwuchssicherung im agrarsektor wird aufgezeigt e werden konkrete maßnahmen vorgeschlagen deren umsetzung zur lösung zentraler probleme im bereich der ausbildung und bindung von personal in der landwirtschaft beitragen wird,49,Сельское И Лесное Хозяйство
die sammlung umfasst materialien au den bereichen journalismus historische wissenschaften kulturologie pädagogische wissenschaften psychologische wissenschaften soziologische wissenschaften philologische wissenschaften wirtschaftswissenschaften rechtswissenschaften ökologie und geowissenschaften alle materialien werden in der autorenausgabe veröffentlicht die sammlung von mnpk materialien ist beim rsci registriert und auf der website der wissenschaftlichen elektronischen bibliothek elibrary ru veröffentlicht vertrag nr k vom,0,Общественные Науки В Целом
in diesem artikel werden die probleme der korruption im bildungsbereich erörtert einem der korruptesten bereiche russlands vorgestellt werden die ergebnisse einer studie die darauf abzielt zusammenhänge zwischen wertorientierungen dem grad der moral und der tendenz zu korruptem verhalten bei universitätsstudenten zu identifizieren der artikel präsentiert eine qualitative analyse der erzielten ergebnisse,11,Психология
der artikel präsentiert die ergebnisse einer theoretischen überprüfung der ansätze zur untersuchung de konzepts in richtung der russischen und westlichen kognitiven linguistik die richtungen der russischen und westlichen kognitiven linguistik werden differenziert ihre grundprinzipien werden hervorgehoben e werden definitionen de konzepts gegeben der schwerpunkt liegt auf der interpretation der beziehung zwischen kognition und sprache im hinblick auf da verständnis de konzepts,12,Языкознание
der beitrag präsentiert eine analyse von wärmeübertragungsparametern und druckverlusten in kanälen mit strömungsrotation angewendet auf wärmetauscher von kombinierten kraftwerken mit brennstoffzellen und gasturbinen,23,Механика
die sammlung umfasst materialien au den bereichen strategisches management innovationen in wirtschaft und sozialem regionale wirtschaft arbeitsökonomie und personalmanagement wirtschaft und qualitätsmanagement rechnungswesen management accounting und wirtschaftsprüfung finanz und steuerpolitik banken und versicherungen wirtschaftliche bewertung von investitionen wirtschaft organisation und management von unternehmen industrien komplexen probleme der entwicklung kleiner unternehmen in russland und im ausland erfahrungen und probleme sozialwirtschaftlicher reformen in russland alle materialien werden in der autorenausgabe veröffentlicht die sammlung von mnpk materialien ist beim rsci registriert und auf der website der wissenschaftlichen elektronischen bibliothek elibrary ru veröffentlicht vertrag nr k vom,61,Организация И Управление
in letzter zeit ist die schaffung einer mondbasis wieder dringend geworden die sowohl für die gewinnung von mineralien al auch al zwischenstufe bei der entwicklung der nächstgelegenen planeten notwendig ist die mondbasis sollte sich in der nähe des pol befinden wo der tägliche temperaturunterschied be geringsten ist die arbeit widmet sich der begründung der wahl der parameter für eine nukleare geschlossene gasturbinen kryoenergieanlage für eine mondbasis in der ersten phase der monderkundung mus die basis mit folgendem versorgt werden strom kw wärme kw kältespeicher für flüssigen sauerstoff kw k die lebensdauer de kraftwerks beträgt jahre die arbeit basiert auf den ideen von v l samsonov der schöpfer de ersten inländischen prototyps einer weltraumgeschlossenen gasturbinenanlage,39,Машиностроение
die umsetzung eines projekts zur fusion übernahme von unternehmen kann auf unterschiedlichen beweggründen beruhen wobei diese beweggründe möglicherweise nicht von den strategischen zielen der aktionäre abhängen in diesem fall mus man gleich sagen das auch persönliche beweggründe von managern und teilweise spekulatives handeln gründe für die durchführung einer m a transaktion sind eq allerdings muss man be häufigsten sagen das eq da hauptmotiv eq für die umsetzung einer m a transaktion sein kann eq der wunsch interessierter parteien oder eq die laufenden ausgaben zu senken eq durch kostensenkung oder eq um das einkommen de unternehmens zu steigern,5,Экономика И Экономические Науки
die regionale wirtschaft unterliegt unter modernen bedingungen erheblichen veränderungen die hauptsächlich mit clusterprozessen verbunden sind die meisten regionen weisen eine clusterstruktur der wirtschaft und damit verbundene transformationen auf cluster und nicht cluster interaktionsformen erzeugen cluster netzwerkstrukturen die die grundlage für die entwicklung von clustern bilden art merkmale und grad der netzwerkinteraktionen bestimmen die wirksamkeit de cluster netzwerk modells der regionalen wirtschaft und sind daher die wichtigsten beherrschbaren merkmale,5,Экономика И Экономические Науки
der artikel präsentiert eine analyse des zustands und der merkmale der entwicklung von kleinunternehmen in der gemeinde der stadt kirow betrachtet da bestehende system der unterstützung von kleinunternehmen und identifiziert mögliche maßnahmen für die weitere entwicklung dieser markteinheiten,5,Экономика И Экономические Науки
der aktuelle stand der gesundheitsentwicklung ist durch die wirksamkeit der methoden zur verwaltung finanzieller ressourcen gekennzeichnet ihre präsenz ist auf die ständige sicherstellung der nachhaltigkeit des management und der wirksamkeit der arbeit medizinischer einrichtungen durch die reduzierung der materialkosten die verbesserung der qualität der medizinischen dienstleistungen sowie die anwendung informationeller und technologischer arbeitsmethoden zurückzuführen,56,Медицина И Здравоохранение
der artikel präsentiert die biografie und arbeitstätigkeit von k k rozental der in den jahren und tätig war war mitarbeiter der staatlichen öffentlichen bibliothek,9,Культура. Культурология
der artikel präsentiert die biographie und wissenschaftliche tätigkeit de psychologen und philosophen korrespondierenden mitglieds der akademie der wissenschaften der udssr s l rubinstein der in den jahren tätig war war mitarbeiter der staatlichen öffentlichen bibliothek,44,Биотехнология
der artikel stellt die biographie und das werk de bibliographen und bibliothekswissenschaftlers s s smetanina vor der und tätig war arbeitete in der staatlichen öffentlichen bibliothek,9,Культура. Культурология
die monographie enthält materialien zum wesen und zu den problemen der verbesserung der effizienz de öffentlichen verwaltungssystems zur untersuchung der probleme der nachhaltigen entwicklung russischer regionen sowie zu den problemen der wirtschaft und des management auf der ebene einzelner unternehmen die monographie kann für manager ökonomen manager und andere mitarbeiter von unternehmen und organisationen lehrer doktoranden studenten und studierende höherer bildungseinrichtungen nützlich sein,5,Экономика И Экономические Науки
in der heutigen marktrealität kann die bedeutung der logistik kaum überschätzt werden eine gut durchdachte und aufgebaute logistikkette kann die kosten für produktion lagerung und transport von produkten deutlich senken die wiederum führt zu einer effizienteren nutzung von ressourcen verfügbaren kapazitäten und arbeitskräften,5,Экономика И Экономические Науки
